-0.0109366,0
-0.0109366,0.00015194
-0.0108411,0.000398672
-0.010695,0.000671196
-0.0103504,0.00108873
-0.00990857,0.0014224
-0.00935719,0.00145319
-0.00877416,0.00146787
-0.00768702,0.00148076
-0.006572,0.00149053
-0.00598561,0.00149987
-0.00540437,0.00148336
-0.00482368,0.00149936
-0.00423714,0.00149081
-0.00312074,0.00147895
-0.00203541,0.00146737
-0.00145802,0.00145202
-0.000884458,0.00141944
-0.000445008,0.00109001
-0.000104663,0.000665676
3.49973e-05,0.000388027
0.000119624,0.000142802
0.000119624,0
