1,-0.0103,-0.00375,-0.01
2,-0.0102943,-0.00375047,3.96997e-06
3,-0.0250143,-0.00378703,1.72784e-05
4,-0.025,-0.00375,-0.01
5,-0.0103095,-4.338e-06,-0.0100229
6,-0.0102926,4.50876e-06,-8.58744e-06
7,-0.025017,-4.13356e-05,1.52881e-05
8,-0.025032,-2.84583e-05,-0.010002
9,0.0103,-0.00375,-0.01
10,0.025,-0.00375,-0.01
11,0.0250143,-0.00378718,1.72903e-05
12,0.0102943,-0.00375097,4.00203e-06
13,0.0103094,-3.98875e-06,-0.0100229
14,0.025032,-2.89435e-05,-0.0100019
15,0.025017,-4.12406e-05,1.53243e-05
16,0.0102926,4.50411e-06,-8.51938e-06
17,-0.0103,-0.015,-0.01
18,-0.0102942,-0.015017,2.58645e-05
19,-0.0250071,-0.0150352,1.14812e-05
20,-0.025,-0.015,-0.01
21,0.0103,-0.015,-0.01
22,0.025,-0.015,-0.01
23,0.025007,-0.0150346,1.14466e-05
24,0.0102941,-0.0150164,2.58052e-05
25,-0.0103066,0.0537635,1.29069e-05
26,-0.0103,0.05375,-0.01
27,0.0103,0.05375,-0.01
28,0.0103066,0.0537637,1.30094e-05
29,-0.0103,0.065,-0.01
30,0.0103,0.065,-0.01
31,0.0103007,0.0650292,2.02351e-05
32,-0.0103008,0.0650303,2.0254e-05
33,-0.0250221,0.0537928,1.61523e-05
34,-0.025,0.05375,-0.01
35,-0.025,0.065,-0.01
36,-0.0250134,0.065037,8.71105e-06
37,-0.0103086,0.0500012,-0.0100067
38,0.0103086,0.0500016,-0.0100067
39,0.0103102,0.0500019,6.18424e-06
40,-0.0103103,0.0500024,6.07367e-06
41,-0.00547448,0.0500253,6.5973e-05
42,6.66323e-08,0.0506155,-0.000114057
43,0.00547441,0.0500258,6.58956e-05
44,-0.0250336,0.0500311,-0.010003
45,-0.0250267,0.0500466,1.41132e-05
46,0.025,0.05375,-0.01
47,0.025,0.065,-0.01
48,0.0250133,0.0650363,8.70172e-06
49,0.0250221,0.0537938,1.61431e-05
50,-0.00539244,1.78956e-05,-1.03718e-05
51,-2.33017e-08,7.45815e-05,-0.0001195
52,0.00539243,1.84097e-05,-1.0311e-05
53,0.0250335,0.0500304,-0.010003
54,0.0250267,0.0500467,1.41183e-05
55,-3.05723e-07,0.05098,0.00113477
56,1.09341e-07,9.35451e-05,0.00112857
57,-0.0103028,-0.0037543,-0.00857521
58,-0.0103016,-0.00375201,-0.00714694
59,-0.0102998,-0.00375049,-0.00571723
60,-0.0102985,-0.00374963,-0.00428705
61,-0.0102973,-0.00374998,-0.00285674
62,-0.010296,-0.00374981,-0.00142637
63,-0.0127468,-0.00375714,7.23362e-06
64,-0.0152,-0.00376226,1.01116e-05
65,-0.0176536,-0.00376711,1.23399e-05
66,-0.0201073,-0.00377269,1.3962e-05
